INFO   | jvm 1    | 2024/11/22 14:34:47 | PatchUpdaterService                               [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | AuthenticationService                             [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | AuthorizationService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | TaskEngineService                                 [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:35:04 | WebService                                        [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:35:04 | ClientFrameworkService                            [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:35:04 | TemplateService                                   [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:35:04 | TableTemplateService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:35:04 | 
INFO   | jvm 1    | 2024/11/22 14:35:04 | Server started in :: [22263 ms]
INFO   | jvm 1    | 2024/11/22 14:35:04 | 
INFO   | jvm 1    | 2024/11/22 14:35:04 | Connect to: [ http://localhost:8085 ]
STATUS | wrapper  | 2024/11/22 14:44:45 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2024/11/22 14:44:46 | CTRL-C trapped.  Forcing immediate shutdown.
ERROR  | wrapper  | 2024/11/22 14:44:46 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2024/11/22 14:44:46 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2024/11/22 14:44:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/11/22 14:44:51 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/11/22 14:44:51 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/11/22 14:44:51 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/11/22 14:44:51 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/11/22 14:44:51 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/11/22 14:44:51 | 
STATUS | wrapper  | 2024/11/22 14:44:51 | Launching a JVM...
INFO   | jvm 1    | 2024/11/22 14:44:52 | WrapperManager: Initializing...
INFO   | jvm 1    | 2024/11/22 14:44:54 | Starting Server from location: C:\Users\praveen-22566\Desktop\MickeyShopProject\AdventNetMickeyLite\AdventNet\MickeyLite
INFO   | jvm 1    | 2024/11/22 14:44:54 | Free edition...
INFO   | jvm 1    | 2024/11/22 14:44:54 | 
INFO   | jvm 1    | 2024/11/22 14:44:59 | Modules already Populated
INFO   | jvm 1    | 2024/11/22 14:44:59 | 
INFO   | jvm 1    | 2024/11/22 14:44:59 |      ModulePreStartProcess :: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | Persistence                                       [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 |      ModulePostStartProcess:: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | Audit                                             [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | Authentication                                    [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | Authorization                                     [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | CustomView                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | TaskEngine                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | Tomcat                                            [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | ClientFramework                                   [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | ClientComponents                                  [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | onlineshop_data_dictionary                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | 
INFO   | jvm 1    | 2024/11/22 14:44:59 | Creating Services
INFO   | jvm 1    | 2024/11/22 14:44:59 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | PatchUpdaterService                               [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | WebService                                        [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | ClientFrameworkService                            [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | TemplateService                                   [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | TableTemplateService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | 
INFO   | jvm 1    | 2024/11/22 14:44:59 | Starting Services
INFO   | jvm 1    | 2024/11/22 14:44:59 | CacheService                                      [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | PatchUpdaterService                               [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | AuthenticationService                             [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | AuthorizationService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:44:59 | TaskEngineService                                 [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:45:16 | WebService                                        [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:45:16 | ClientFrameworkService                            [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:45:16 | TemplateService                                   [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:45:16 | TableTemplateService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:45:16 | 
INFO   | jvm 1    | 2024/11/22 14:45:16 | Server started in :: [22482 ms]
INFO   | jvm 1    | 2024/11/22 14:45:16 | 
INFO   | jvm 1    | 2024/11/22 14:45:16 | Connect to: [ http://localhost:8085 ]
